x,y,value
T288,W M Lai,0
T288,O Peslier,0
T288,C Murray,0
T288,A Sanna,0
V162,O Doleuze,0
V162,N Rawiller,0
V162,O Bosson,0
V162,H N Wong,0
V162,M Chadwick,0
V162,T H So,0
V162,Z Purton,0
V162,K C Ng,0
V162,S Clipperton,0
V162,K K Chiong,0
V162,K C Leung,0
V162,N Callan,0
V162,K Teetan,0
V162,H T Mo,0
V162,B Prebble,0
V162,J Moreira,0
V162,D Whyte,0
V162,M L Yeung,0
V162,C Y Ho,0
V162,H W Lai,0
V162,Y T Cheng,0
V162,C Schofield,0
V162,S de Sousa,0
V162,U Rispoli,0
V162,C Williams,0
V162,L Corrales,0
V162,O Murphy,0
V162,G Mosse,0
V162,T Berry,0
V162,H Bowman,0
V162,C Soumillon,0
V162,D Lane,0
V162,M Barzalona,0
V162,F Geroux,0
V162,P Smullen,0
V162,G Lerena,0
V162,M Demuro,0
V162,R Moore,0
V162,K Tosaki,0
V162,N Juglall,0
V162,T Clark,0
V162,A Badel,0
V162,M Guyon,0
V162,Y Iwata,0
V162,Y Take,0
V162,R Myers,0
V162,S Pasquier,0
V162,B Vorster,0
V162,B Melham,0
V162,G Lee,0
V162,Y Kawada,0
V162,D O'Brien,0
V162,P-C Boudot,0
V162,G Schofield,0
V162,H Lam,0
V162,M Wepner,0
V162,C Perkins,0
V162,R Curatolo,0
V162,W L Ho,0
V162,M F Poon,0
V162,W M Lai,0
V162,O Peslier,0
V162,C Murray,0
V162,A Sanna,0
T161,O Doleuze,0
T161,N Rawiller,0
T161,O Bosson,0
T161,H N Wong,0
T161,M Chadwick,0
T161,T H So,0
T161,Z Purton,0
T161,K C Ng,0
T161,S Clipperton,0
T161,K K Chiong,0
T161,K C Leung,0
T161,N Callan,0
T161,K Teetan,0
T161,H T Mo,0
T161,B Prebble,0
T161,J Moreira,0
T161,D Whyte,0
T161,M L Yeung,0
T161,C Y Ho,0
T161,H W Lai,0
T161,Y T Cheng,0
T161,C Schofield,0
T161,S de Sousa,0
T161,U Rispoli,0
T161,C Williams,0
T161,L Corrales,0
T161,O Murphy,0
T161,G Mosse,0
T161,T Berry,0
T161,H Bowman,0
T161,C Soumillon,0
T161,D Lane,0
T161,M Barzalona,0
T161,F Geroux,0
T161,P Smullen,0
T161,G Lerena,0
T161,M Demuro,0
T161,R Moore,0
T161,K Tosaki,0
T161,N Juglall,0
T161,T Clark,0
T161,A Badel,0
T161,M Guyon,0
T161,Y Iwata,0
T161,Y Take,0
T161,R Myers,0
T161,S Pasquier,0
T161,B Vorster,0
T161,B Melham,0
T161,G Lee,0
T161,Y Kawada,0
T161,D O'Brien,0
T161,P-C Boudot,0
T161,G Schofield,0
T161,H Lam,0
T161,M Wepner,0
T161,C Perkins,0
T161,R Curatolo,0
T161,W L Ho,0
T161,M F Poon,0
T161,W M Lai,0
T161,O Peslier,0
T161,C Murray,0
T161,A Sanna,0
P420,O Doleuze,0
P420,N Rawiller,0
P420,O Bosson,0
P420,H N Wong,0
P420,M Chadwick,0
P420,T H So,0
P420,Z Purton,0
P420,K C Ng,0
P420,S Clipperton,0
P420,K K Chiong,0
P420,K C Leung,0
P420,N Callan,0
P420,K Teetan,0
P420,H T Mo,0
P420,B Prebble,0
P420,J Moreira,0
P420,D Whyte,0
P420,M L Yeung,0
P420,C Y Ho,0
P420,H W Lai,0
P420,Y T Cheng,0
P420,C Schofield,0
P420,S de Sousa,0
P420,U Rispoli,0
P420,C Williams,0
P420,L Corrales,0
P420,O Murphy,0
P420,G Mosse,0
P420,T Berry,0
P420,H Bowman,0
P420,C Soumillon,0
P420,D Lane,0
P420,M Barzalona,0
P420,F Geroux,0
P420,P Smullen,0
P420,G Lerena,0
P420,M Demuro,0
P420,R Moore,0
P420,K Tosaki,0
P420,N Juglall,0
P420,T Clark,0
P420,A Badel,0
P420,M Guyon,0
P420,Y Iwata,0
P420,Y Take,0
P420,R Myers,0
P420,S Pasquier,0
P420,B Vorster,0
P420,B Melham,0
P420,G Lee,0
P420,Y Kawada,0
P420,D O'Brien,0
P420,P-C Boudot,0
P420,G Schofield,0
P420,H Lam,0
P420,M Wepner,0
P420,C Perkins,0
P420,R Curatolo,0
P420,W L Ho,0
P420,M F Poon,0
P420,W M Lai,0
P420,O Peslier,0
P420,C Murray,0
P420,A Sanna,0
T116,O Doleuze,0
T116,N Rawiller,0
T116,O Bosson,0
T116,H N Wong,0.6
T116,M Chadwick,0
T116,T H So,0
T116,Z Purton,0
T116,K C Ng,0
T116,S Clipperton,0
T116,K K Chiong,1
T116,K C Leung,0
T116,N Callan,0
T116,K Teetan,0
T116,H T Mo,0.666666667
T116,B Prebble,0
T116,J Moreira,0
T116,D Whyte,0
T116,M L Yeung,0
T116,C Y Ho,0
T116,H W Lai,0
T116,Y T Cheng,0
T116,C Schofield,0
T116,S de Sousa,0
T116,U Rispoli,0
T116,C Williams,0
T116,L Corrales,0
T116,O Murphy,0
T116,G Mosse,0
T116,T Berry,0
T116,H Bowman,0
T116,C Soumillon,0
T116,D Lane,0
T116,M Barzalona,0
T116,F Geroux,0
T116,P Smullen,0
T116,G Lerena,0
T116,M Demuro,0
T116,R Moore,0
T116,K Tosaki,0
T116,N Juglall,0
T116,T Clark,0
T116,A Badel,0
T116,M Guyon,0
T116,Y Iwata,0
T116,Y Take,0
T116,R Myers,0
T116,S Pasquier,0
T116,B Vorster,0
T116,B Melham,0
T116,G Lee,0
T116,Y Kawada,0
T116,D O'Brien,0
T116,P-C Boudot,0
T116,G Schofield,0
T116,H Lam,0
T116,M Wepner,0
T116,C Perkins,0
T116,R Curatolo,0
T116,W L Ho,0
T116,M F Poon,0
T116,W M Lai,0
T116,O Peslier,0
T116,C Murray,0
T116,A Sanna,0
V080,O Doleuze,0
V080,N Rawiller,0
V080,O Bosson,0
V080,H N Wong,0
V080,M Chadwick,0
V080,T H So,0
V080,Z Purton,0
V080,K C Ng,0
V080,S Clipperton,0
V080,K K Chiong,0
V080,K C Leung,0.5
V080,N Callan,1
V080,K Teetan,0
V080,H T Mo,0
V080,B Prebble,0
V080,J Moreira,0
V080,D Whyte,0
V080,M L Yeung,0
V080,C Y Ho,0
V080,H W Lai,0
V080,Y T Cheng,0
V080,C Schofield,0
V080,S de Sousa,0
V080,U Rispoli,0
V080,C Williams,0
V080,L Corrales,0
V080,O Murphy,0
V080,G Mosse,0
V080,T Berry,0
V080,H Bowman,0
V080,C Soumillon,0
V080,D Lane,0
V080,M Barzalona,0
V080,F Geroux,0
V080,P Smullen,0
V080,G Lerena,0
V080,M Demuro,0
V080,R Moore,0
V080,K Tosaki,0
V080,N Juglall,0
V080,T Clark,0
V080,A Badel,0
V080,M Guyon,0
V080,Y Iwata,0
V080,Y Take,0
V080,R Myers,0
V080,S Pasquier,0
V080,B Vorster,0
V080,B Melham,0
V080,G Lee,0
V080,Y Kawada,0
V080,D O'Brien,0
V080,P-C Boudot,0
